date,close,buy_date,buy_close,sell_date,sell_close,sell_profit,profit_average
2019-06-12,1855.32,2019-06-18,1901.369995,2019-06-19,1908.790039,7.420043999999962,-835.5896029999999
2019-06-13,1870.3,2019-06-24,1913.900024,2019-06-27,1904.280029,-9.619995000000017,-114.59985400000005
2019-06-14,1869.67,2019-06-26,1897.829956,2019-07-03,1939.0,41.17004399999996,4.259765000000243
2019-06-17,1886.03,2019-07-12,2011.0,2019-07-16,2009.900024,-1.0999759999999696,-103.51989700000013
2019-06-18,1901.37,2019-07-17,1992.030029,2019-07-22,1985.630005,-6.40002400000003,
2019-06-19,1908.79,2019-07-18,1977.900024,2019-07-25,1973.819946,-4.080077999999958,
2019-06-20,1918.19,2019-07-19,1964.52002,2019-07-30,1898.530029,-65.98999099999992,
2019-06-21,1911.3,2019-07-23,1994.48999,2019-07-31,1866.780029,-127.70996100000002,
2019-06-24,1913.9,2019-07-24,2000.810059,2019-08-01,1855.319946,-145.49011299999984,
2019-06-25,1878.27,2019-07-29,1912.449951,2019-08-02,1823.23999,-89.20996100000002,
2019-06-26,1897.83,2019-08-07,1793.400024,2019-08-08,1832.890015,39.48999099999992,
2019-06-27,1904.28,2019-08-19,1816.119995,2019-08-21,1823.540039,7.420043999999962,
2019-06-28,1893.63,2019-08-22,1804.660034,2019-08-23,1749.619995,-55.04003899999998,
2019-07-01,1922.19,2019-08-29,1786.400024,2019-09-04,1800.619995,14.219970999999987,
2019-07-02,1934.31,2019-08-30,1776.290039,2019-09-06,1833.51001,57.21997099999999,
2019-07-03,1939.0,2019-09-05,1840.719971,2019-09-10,1820.550049,-20.169922000000042,
2019-07-05,1942.91,2019-09-11,1822.98999,2019-09-12,1843.550049,20.56005899999991,
2019-07-08,1952.32,2019-09-16,1807.839966,2019-09-18,1817.459961,9.619995000000017,
2019-07-09,1988.3,2019-09-17,1822.550049,2019-09-19,1821.5,-1.0500489999999445,
2019-07-10,2017.41,2019-09-24,1741.609985,2019-09-30,1735.910034,-5.6999510000000555,
2019-07-11,2001.07,2019-09-25,1768.329956,2019-10-01,1735.650024,-32.67993200000001,
2019-07-12,2011.0,2019-09-26,1739.839966,2019-10-02,1713.22998,-26.609985999999935,
2019-07-15,2020.99,2019-09-27,1725.449951,2019-10-03,1724.420044,-1.0299070000000938,
2019-07-16,2009.9,2019-10-07,1732.660034,2019-10-08,1705.51001,-27.15002400000003,
2019-07-17,1992.03,2019-10-11,1731.920044,2019-10-14,1736.430054,4.510009999999966,
2019-07-18,1977.9,2019-10-23,1762.170044,2019-10-24,1780.780029,18.60998500000005,
2019-07-19,1964.52,2019-10-28,1777.079956,2019-10-29,1762.709961,-14.369995000000017,
2019-07-22,1985.63,2019-10-31,1776.660034,2019-11-01,1791.439941,14.779907000000094,
2019-07-23,1994.49,2019-11-08,1785.880005,2019-11-11,1771.650024,-14.229980999999952,
2019-07-24,2000.81,2019-11-12,1778.0,2019-11-13,1753.109985,-24.89001499999995,
2019-07-25,1973.82,2019-11-14,1754.599976,2019-11-15,1739.48999,-15.109985999999935,
2019-07-26,1943.05,2019-11-19,1752.790039,2019-11-20,1745.530029,-7.260009999999966,
2019-07-29,1912.45,2019-11-29,1800.800049,2019-12-02,1781.599976,-19.200072999999975,
2019-07-30,1898.53,2019-12-05,1740.47998,2019-12-10,1739.209961,-1.2700190000000475,
2019-07-31,1866.78,2019-12-06,1751.599976,2019-12-16,1769.209961,17.60998500000005,
2019-08-01,1855.32,2019-12-11,1748.719971,2019-12-17,1790.660034,41.94006300000001,
2019-08-02,1823.24,2019-12-12,1760.329956,2019-12-19,1792.280029,31.950072999999975,
2019-08-05,1765.13,2019-12-13,1760.939941,2019-12-23,1793.0,32.06005899999991,
2019-08-06,1787.83,2019-12-20,1786.5,2019-12-30,1846.890015,60.39001499999995,
2019-08-07,1793.4,2019-12-24,1789.209961,2019-12-31,1847.839966,58.63000499999998,
2019-08-08,1832.89,2019-12-27,1869.800049,2020-01-02,1898.01001,28.20996100000002,
2019-08-09,1807.58,2020-01-27,1828.339966,2020-01-28,1853.25,24.910033999999996,
2019-08-12,1784.92,2020-02-19,2170.219971,2020-02-25,1972.73999,-197.47998099999995,
2019-08-13,1824.34,2020-02-20,2153.100098,2020-02-27,1884.300049,-268.80004899999994,
2019-08-14,1762.96,2020-02-24,2009.290039,2020-03-02,1953.949951,-55.34008799999992,
2019-08-15,1776.12,2020-02-26,1979.589966,2020-03-05,1924.030029,-55.55993699999999,
2019-08-16,1792.57,2020-02-28,1883.75,2020-03-06,1901.089966,17.339966000000004,
2019-08-19,1816.12,2020-03-03,1908.98999,2020-03-09,1800.609985,-108.38000499999998,
2019-08-20,1801.38,2020-03-13,1785.0,2020-03-16,1689.150024,-95.84997599999997,
2019-08-21,1823.54,2020-03-27,1900.099976,2020-03-30,1963.949951,63.849975000000086,
2019-08-22,1804.66,2020-04-24,2410.219971,2020-04-27,2376.0,-34.21997099999999,
2019-08-23,1749.62,2020-04-29,2372.709961,2020-04-30,2474.0,101.29003899999998,
2019-08-26,1768.87,2020-06-03,2478.399902,2020-06-04,2460.600098,-17.799804000000222,
2019-08-27,1761.83,,,,,,
2019-08-28,1764.25,,,,,,
2019-08-29,1786.4,,,,,,
2019-08-30,1776.29,,,,,,
2019-09-03,1789.84,,,,,,
2019-09-04,1800.62,,,,,,
2019-09-05,1840.72,,,,,,
2019-09-06,1833.51,,,,,,
2019-09-09,1831.35,,,,,,
2019-09-10,1820.55,,,,,,
2019-09-11,1822.99,,,,,,
2019-09-12,1843.55,,,,,,
2019-09-13,1839.34,,,,,,
2019-09-16,1807.84,,,,,,
2019-09-17,1822.55,,,,,,
2019-09-18,1817.46,,,,,,
2019-09-19,1821.5,,,,,,
2019-09-20,1794.16,,,,,,
2019-09-23,1785.3,,,,,,
2019-09-24,1741.61,,,,,,
2019-09-25,1768.33,,,,,,
2019-09-26,1739.84,,,,,,
2019-09-27,1725.45,,,,,,
2019-09-30,1735.91,,,,,,
2019-10-01,1735.65,,,,,,
2019-10-02,1713.23,,,,,,
2019-10-03,1724.42,,,,,,
2019-10-04,1739.65,,,,,,
2019-10-07,1732.66,,,,,,
2019-10-08,1705.51,,,,,,
2019-10-09,1721.99,,,,,,
2019-10-10,1720.26,,,,,,
2019-10-11,1731.92,,,,,,
2019-10-14,1736.43,,,,,,
2019-10-15,1767.38,,,,,,
2019-10-16,1777.43,,,,,,
2019-10-17,1787.48,,,,,,
2019-10-18,1757.51,,,,,,
2019-10-21,1785.66,,,,,,
2019-10-22,1765.73,,,,,,
2019-10-23,1762.17,,,,,,
2019-10-24,1780.78,,,,,,
2019-10-25,1761.33,,,,,,
2019-10-28,1777.08,,,,,,
2019-10-29,1762.71,,,,,,
2019-10-30,1779.99,,,,,,
2019-10-31,1776.66,,,,,,
2019-11-01,1791.44,,,,,,
2019-11-04,1804.66,,,,,,
2019-11-05,1801.71,,,,,,
2019-11-06,1795.77,,,,,,
2019-11-07,1788.2,,,,,,
2019-11-08,1785.88,,,,,,
2019-11-11,1771.65,,,,,,
2019-11-12,1778.0,,,,,,
2019-11-13,1753.11,,,,,,
2019-11-14,1754.6,,,,,,
2019-11-15,1739.49,,,,,,
2019-11-18,1752.53,,,,,,
